,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
409,108,LSPM J1440+1339,72,0.087822096,0.12228797,
410,,,,,,
411,109,2MASS J14482563+1031590 [de],47,0.056320692,0.10173537,
412,,,,,,
413,110,CFBDSIR 1458+10A,104,0.010595927,0.1541445,
414,,,,,,
415,111,CFBDSIR 1458+10B,104,0.008591292,0.1335919,
416,,,,,,
417,112,TVLM 513-46546,35.1,0.0715941,0.10790115,
418,,,,,,
419,113,2MASS 1503+2525,20.7,0.042001872,0.09659722,
420,,,,,,
421,114,CFBDS J150411+102717,71,0.042001872,0.09659722,
422,,,,,,
423,115,2MASSW J1506544+132106 [de],46,0.065866572,0.10481826,
424,,,,,,
425,116,2MASS 1507−1627,23.9,0.05727528,0.10173537,
426,,,,,,
427,117,TVLM 868-110639,53,0.075412452,0.11098404,
428,,,,,,
429,118,2MASSW J1515008+484742 [de],34,0.054411516,0.10173537,
430,,,,,,
431,119,2MASSI J1526140+204341 [de],67,0.051547752,0.10070774,
432,,,,,,
433,120,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763,
434,,,,,,
435,121,2MASS J15462718-3325111 [de],37,0.042001872,0.09659722,
436,,,,,,
437,122,2MASSW J1552591+294849 [de],68,0.02863764,0.14695109,
438,,,,,,
439,123,2MASSW J1555157-095605 [de],44,0.067775748,0.10584589,
440,,,,,,
441,124,2MASS J16150413+1340079 [de],48,0.040092696,0.09659722,
442,,,,,,
443,125,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.09659722,
444,,,,,,
445,126,2MASS J16262034+3925190 [de],110,0.067775748,0.10584589,
446,,,,,,
447,127,2MASSW J1632291+190441 [de],50,0.046774812,0.09968011,
448,,,,,,
449,128,WISEPA J164715.59+563208.2,28,0.039138108,0.09659722,
450,,,,,,
451,129,LSPM J1658+7027 [de],60,0.069684924,0.10687352,
452,,,,,,
453,130,2MASSI J1726000+153819,114,0.022910112,0.1438682,
454,,,,,,
455,131,SDSSp J175032.96+175903.9,90,0.044865636,0.09968011,
456,,,,,,
457,132,2MASS J18283572-4849046,39,0.04295646,0.09762485,
458,,,,,,
459,133,LSR J1835+3259,18.5,0.073503276,0.10995641,
460,,,,,,
461,134,2MASSW J1841086+311727,138,0.063957396,0.10379063,
462,,,,,,
463,135,2MASS J18432213+4040209,46,0.091640448,0.12537086,
464,,,,,,
465,136,2MASS J20004841-7523070,105,0.0238647,0.19319444,
466,,,,,,
467,137,SDSS J204749.61-071818.3,65,0.043911048,0.09865248,
468,,,,,,
469,138,2MASSI J2057540-025230,47,0.06682116,0.10481826,
470,,,,,,
471,139,2MASSI J2104149-103736,62,0.065866572,0.10481826,
472,,,,,,
473,140,PSO J318.5−22,80,0.006204822,0.15722739,
474,,,,,,
475,141,HB 2124-4228,113,0.089731272,0.12434323,
476,,,,,,
477,142,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,
478,,,,,,
479,143,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,
480,,,,,,
481,144,2MASSW J2206450-421721,93,0.021000936,0.13667479,
482,,,,,,
483,145,2MASSW J2208136+292121,154,0.025773876,0.14489583,
484,,,,,,
485,146,2MASSW J2224438-015852,38,0.058229868,0.10173537,
486,,,,,,
487,147,2MASS J22282889-4310262,35,0.040092696,0.09659722,
488,,,,,,
489,148,2MASS J22373255+3922398,64,0.069684924,0.10687352,
490,,,,,,
491,149,2MASSW J2244316+204343,56,0.011455056,0.13256427,
492,,,,,,
493,150,2MASS J23224684-3133231,56,0.022910112,0.14284057,
494,,,,,,
495,151,2MASS J23225299-6151275,148,0.016227996,0.16339317,
496,,,,,,
497,152,2MASS J23515044-2537367,67,0.084003744,0.11920508,
498,,,,,,
499,153,2MASSI J2356547-155310,74,0.07636704,0.11201167,
500,,,,,,
501,154,WISE 0410+1502,20,0.005727528,0.12023271,
502,,,,,,
503,155,WISE 0458+6434A,35.9,0.01431882,0.4316046,
504,,,,,,
505,156,WISE 0458+6434B,35.9,0.00954588,0.3904994,
506,,,,,,
507,157,WISE 1405+5534,25.3,0.02863764,0.08837618,
